EmployeeID,DateOfHire,DateOfBirth,Gender,Department,JobTitle,EmploymentStatus,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
24716,31-10-2016,22-06-1970,Male,IT,Retail banker,On Leave,49,Thomas Schwartz,Manager,8,10,5,105064.49,19508.11,0,1,34,20,13,Recruiter,2.9,,,05-08-2017,Patrick,18,2,1,No,2,1.17,Medium,Non-Diverse,89.69,7942.86,15,No,32,9.73
24717,16-03-2020,15-05-2006,Non-Binary,Marketing,Sub,On Leave,261,Jose Jenkins,Director,8,19,1,74720.72,6726.1,1,2,24,29,11,Walk-in,3.11,,,25-09-2024,Arun S,37,5,6,Yes,3,1.98,Low,Diverse,74.33,5853.22,14,Yes,50,4.31
24718,11-02-2017,20-04-2005,Non-Binary,Marketing,Engineering geologist,Active,153,Christina Gentry,VP,17,4,1,59335.04,16537.58,1,9,44,4,18,Recruiter,1.36,,,,Arun S,14,2,5,No,3,3.89,High,Non-Diverse,72.53,9674.31,41,No,46,3.42
24719,07-09-2017,25-07-1962,Female,Sales,Historic buildings inspector/conservation officer,Terminated,933,Mrs. Emily Scott,Manager,11,16,5,80810.1,9816.43,6,3,28,16,18,Walk-in,2.03,15-05-2023,Retirement,,Patrick,6,2,6,Yes,3,2.47,Low,Non-Diverse,51.52,7951.45,34,Yes,53,4.92
24720,18-08-2017,10-11-1971,Male,IT,"Surveyor, planning and development",Active,703,Nicole Franco,VP,2,12,1,101528.82,10450.18,9,10,31,6,10,Recruiter,2.68,,,10-10-2022,Arun S,29,3,18,Yes,3,3.24,Low,Diverse,94.45,1178.92,7,No,58,3.02
24721,03-12-2021,07-05-1990,Female,Finance,Systems developer,Terminated,509,Michelle Hall,Manager,11,0,3,36474.82,5594.91,5,9,24,43,4,Walk-in,2.87,05-02-2024,Retirement,,Patrick,11,0,5,No,3,2.71,High,Non-Diverse,84.16,6473.78,41,No,57,2.3
24722,08-03-2015,01-05-1977,Female,Sales,Communications engineer,Terminated,133,Anthony Kelly,VP,2,9,3,75639.26,321.45,8,2,8,22,15,Walk-in,1.89,24-04-2019,Resignation,,Arun S,32,4,10,No,0,4.15,Medium,Non-Diverse,60.81,4622.89,49,Yes,35,3.58
24723,31-08-2017,08-02-1989,Non-Binary,HR,"Horticulturist, amenity",Active,533,Deborah Joseph,Manager,18,5,4,89250.02,10133.93,8,1,76,43,2,Recruiter,3.88,,,18-07-2023,Patrick,36,4,17,No,2,4.32,Medium,Non-Diverse,99.08,1274.22,20,No,55,1.59
24724,09-05-2022,18-12-1962,Non-Binary,HR,Editorial assistant,Terminated,69,Janice Ramirez,Manager,11,11,5,85879.45,776.86,5,9,25,44,14,Job Board,3.71,31-01-2023,None,23-08-2023,Arun S,33,5,3,Yes,4,4.54,Low,Diverse,74.19,2891.76,14,Yes,54,1.29
24725,01-07-2023,13-07-1963,Male,Finance,Acupuncturist,On Leave,410,Barbara Wade,Director,8,2,5,32355.06,9009.23,10,3,96,40,14,Walk-in,4.69,,,07-06-2024,Thomas G,34,3,16,No,3,2.45,Low,Diverse,75.33,9472.12,7,Yes,60,7.45
24726,18-11-2018,27-05-1986,Male,Finance,Transport planner,On Leave,932,Keith Smith,Manager,0,17,5,39710.78,14742.82,5,8,20,9,5,Referral,3.92,,,,Thomas G,26,3,14,No,3,2.36,High,Diverse,98.42,7952.62,40,No,30,5.31
24727,17-04-2019,16-10-2005,Female,HR,Consulting civil engineer,Active,110,Robert Cruz,Director,7,14,4,78641.83,8185.98,5,4,95,7,15,Job Board,2.29,,,,Thomas G,45,3,2,No,0,3.14,Medium,Diverse,88.23,1445.16,45,No,45,7.96
24728,11-08-2021,13-04-1999,Male,Marketing,Warden/ranger,Active,946,Heather Davis,Director,5,16,4,97171.98,16440.31,2,9,49,42,2,Walk-in,3.87,,,,Patrick,28,5,11,No,2,3.21,High,Non-Diverse,61.13,4416.79,44,Yes,31,7.1
24729,23-01-2024,02-10-1988,Non-Binary,Marketing,Airline pilot,On Leave,32,Rhonda Wolfe,VP,16,11,4,52263.58,17252.95,5,4,34,22,15,Job Board,4.24,,,,Arun S,9,1,2,No,2,3.98,Low,Non-Diverse,67.18,2365.06,29,No,31,2
24730,25-04-2019,18-04-1991,Male,Sales,Automotive engineer,On Leave,762,Stephen Lee,Manager,14,12,4,112420.78,14432.31,0,2,78,22,10,Job Board,2.61,,,,Arun S,29,2,0,Yes,4,4.94,Low,Diverse,79.64,9463.01,37,Yes,54,5.72
24731,27-07-2015,23-06-1975,Male,Marketing,Graphic designer,On Leave,461,Gabriela Brown,Director,3,9,4,92736.15,16654.71,6,5,37,36,6,Referral,4.57,,,,Arun S,46,1,13,Yes,2,2.83,High,Non-Diverse,98.26,1766.21,8,No,51,7.06
24732,09-06-2020,04-09-2003,Male,Marketing,Medical sales representative,Terminated,606,Robert Nichols,Manager,1,1,3,39111.99,19130.45,2,7,1,13,9,Referral,4.65,29-04-2023,Retirement,25-04-2022,Patrick,19,5,18,Yes,5,1.96,High,Non-Diverse,64.4,6458.21,33,Yes,40,4.77
24733,26-01-2023,06-04-1980,Male,Sales,"Administrator, local government",Active,191,Christopher Morris,Manager,18,9,1,92247.03,5746.79,3,0,3,11,11,Job Board,1.45,,,,Arun S,19,2,4,Yes,5,4.93,Low,Non-Diverse,86.95,3344.99,21,Yes,40,3.1
24734,30-03-2024,18-03-1994,Non-Binary,Sales,Interpreter,On Leave,641,Ann Irwin,Manager,10,6,1,58397.51,2183.37,4,3,29,40,0,Job Board,4.27,,,30-10-2024,Arun S,6,5,10,No,0,3.47,Low,Non-Diverse,84.22,7008.36,29,No,37,8.86
24735,16-02-2024,06-11-1967,Female,HR,Radio producer,Terminated,940,Dwayne Smith,Manager,13,2,2,68259.25,10766.11,4,0,59,3,5,Recruiter,2.09,13-03-2024,None,05-10-2024,Arun S,11,3,12,No,2,2.99,High,Non-Diverse,93.53,4390.81,18,Yes,42,9.32
24736,03-08-2024,22-05-1968,Female,Finance,Outdoor activities/education manager,Active,901,John Snyder,Manager,11,13,3,103932.45,9777.09,8,9,24,8,13,Walk-in,1.36,,,,Thomas G,8,5,1,Yes,3,1.92,High,Non-Diverse,97,5126.1,29,Yes,39,7.41
24737,02-11-2018,03-03-1984,Non-Binary,IT,"Scientist, research (medical)",On Leave,152,Miguel Clark,VP,15,4,1,74872.3,7120.93,7,8,51,45,13,Job Board,1.75,,,02-05-2019,Patrick,23,5,7,Yes,5,2.44,High,Diverse,57.01,7004.85,35,No,42,5.92
24738,27-04-2017,25-02-1959,Female,Marketing,"Therapist, sports",Active,239,Evan Jones,VP,11,10,1,97439.05,11548.67,0,6,5,50,6,Job Board,2.86,,,,Thomas G,34,0,18,No,1,2.6,Medium,Non-Diverse,63.98,3067.21,59,Yes,52,2.74
24739,28-01-2022,18-07-1965,Non-Binary,Sales,Recycling officer,Terminated,332,Steven Mcmahon,Manager,0,11,4,105816.09,9951.15,0,4,94,14,6,Job Board,1.56,05-03-2022,Layoff,,Arun S,32,4,15,No,2,1.7,Medium,Diverse,77.81,5083.12,38,Yes,55,2.76
24740,23-05-2021,25-06-2000,Male,Finance,Accommodation manager,On Leave,252,Robert Gentry,Director,10,17,4,50318.51,7664.21,9,10,44,30,19,Recruiter,3.61,,,,Thomas G,11,5,18,Yes,3,4.66,Low,Non-Diverse,75.23,2678.74,58,No,41,2.96
24741,19-06-2019,06-01-1988,Non-Binary,HR,Armed forces training and education officer,Terminated,180,Michael Estes,VP,20,14,4,66873.58,1767.22,8,2,3,22,14,Referral,3.99,04-01-2022,None,15-01-2025,Arun S,34,1,4,Yes,2,4.57,Medium,Non-Diverse,77.41,4789.54,46,No,35,5.67
24742,07-04-2024,13-04-1960,Non-Binary,HR,Personal assistant,On Leave,508,Christopher Werner,Director,12,11,2,80599.62,17244.85,8,4,89,35,10,Job Board,4.01,,,,Thomas G,13,0,2,Yes,0,1.84,Low,Non-Diverse,97.74,8031.06,40,Yes,56,5.18
24743,19-01-2023,06-02-1967,Non-Binary,IT,Secretary/administrator,Active,685,Marcus Gordon,Manager,6,15,3,70619.66,3994.05,3,3,96,31,6,Job Board,2.04,,,16-02-2024,Arun S,31,2,9,No,2,4.77,High,Diverse,64.82,7599.59,18,Yes,49,7.16
24744,29-01-2019,16-11-1971,Male,Finance,Plant breeder/geneticist,Terminated,751,Gloria Martinez,Manager,15,19,5,109681.66,6199.72,1,7,6,36,3,Job Board,1.87,20-10-2020,Layoff,,Thomas G,34,4,12,No,5,3.71,High,Diverse,92.03,1861.99,8,No,49,2.8
24745,07-10-2015,28-08-1991,Male,Finance,Pension scheme manager,Active,26,Stephanie Smith,VP,14,8,2,97887.46,12870.1,0,4,59,12,13,Walk-in,4.5,,,,Thomas G,12,4,6,No,2,1.27,High,Diverse,85.16,9318.53,52,Yes,30,9.53
24746,15-06-2019,07-03-1982,Non-Binary,IT,"Designer, blown glass/stained glass",Active,293,Tyrone Meyers,Director,18,19,1,74984.24,7965.61,4,3,11,50,17,Walk-in,1.16,,,,Thomas G,48,4,1,Yes,5,4.73,Medium,Diverse,92.93,1771.32,15,No,60,2.62
24747,10-08-2023,12-10-1970,Male,Marketing,"Psychologist, clinical",On Leave,687,Shawn Bell,VP,17,10,1,67492.33,4596.22,6,6,93,9,5,Referral,2.55,,,,Patrick,47,3,1,No,4,2.63,Medium,Diverse,56.17,7135.25,28,No,57,2.97
24748,03-08-2016,22-10-1994,Female,HR,Retail banker,Terminated,48,Troy Thomas,Director,6,19,2,48642.21,3120.8,2,8,82,13,14,Referral,2.14,14-03-2020,Retirement,26-05-2017,Arun S,9,0,9,No,0,1.43,Medium,Non-Diverse,61.71,9581.34,21,No,34,1.02
24749,20-04-2017,05-10-1981,Non-Binary,HR,"Programmer, applications",Terminated,230,Christopher Stone,Manager,3,8,3,102397.91,10898.28,0,10,44,13,0,Referral,3.99,30-04-2018,Retirement,,Arun S,18,5,11,Yes,4,3.08,Medium,Non-Diverse,99.99,5942.1,54,Yes,36,6.69
24750,22-07-2021,28-03-2004,Female,Sales,"Journalist, magazine",Terminated,633,Charles Miller,Manager,11,17,2,82425.62,1443.69,0,6,14,1,15,Recruiter,1.97,12-05-2024,Resignation,01-10-2022,Thomas G,24,2,3,Yes,1,3.99,Medium,Non-Diverse,53.97,5577.99,5,No,54,9.29
24751,13-11-2024,08-01-1982,Non-Binary,Marketing,Immunologist,Terminated,914,Jerry Fitzgerald,VP,16,8,2,110391.1,10580.82,5,5,9,36,5,Referral,1.19,15-01-2025,Resignation,08-12-2024,Arun S,30,2,19,Yes,1,4.4,Medium,Non-Diverse,71.5,1974.24,34,Yes,52,8.87
24752,17-02-2020,26-05-1979,Female,IT,Management consultant,On Leave,779,Justin Williams,VP,4,9,2,87425.21,14735.13,3,10,83,25,15,Referral,1.8,,,04-01-2022,Arun S,36,1,8,No,3,3.21,High,Non-Diverse,50.87,8477.69,16,Yes,57,8.33
24753,06-09-2020,27-12-1990,Male,HR,Telecommunications researcher,Active,621,Caroline Hunter,VP,7,14,2,97127.26,1113.17,4,2,18,31,1,Recruiter,3.66,,,27-11-2024,Thomas G,36,5,3,Yes,0,4.71,Low,Diverse,79.23,2653.44,18,Yes,33,2.72
24754,30-11-2016,13-09-2006,Male,HR,Trading standards officer,Active,346,Zachary Roberson,Manager,1,19,4,43144.38,17854.92,10,0,24,5,18,Job Board,2.25,,,,Arun S,22,0,5,No,2,3.62,High,Diverse,50.68,7743.05,60,No,40,9.6
24755,03-05-2024,15-12-1986,Female,Sales,"Lighting technician, broadcasting/film/video",On Leave,622,Tina Hicks,Manager,0,19,5,44293.78,14362.73,7,8,11,26,4,Job Board,1.31,,,17-11-2024,Arun S,20,4,19,No,5,2.05,Low,Non-Diverse,53.36,2645.98,56,No,40,6.67
24756,22-05-2023,21-02-1983,Male,Sales,"Geneticist, molecular",Active,656,Susan Cole,Director,20,2,3,72402.09,7176.59,6,4,49,50,2,Walk-in,2.79,,,,Patrick,5,0,7,No,4,1.9,Medium,Diverse,79.94,3168.08,41,No,49,8.82
24757,26-01-2021,26-02-1988,Non-Binary,Sales,"Engineer, site",On Leave,147,William Morgan Jr.,VP,4,19,2,101095.59,455.11,4,3,6,6,7,Recruiter,3.32,,,,Thomas G,18,4,5,No,3,4.59,Low,Diverse,76.46,3249.86,18,Yes,59,1.95
24758,31-01-2022,11-12-1988,Non-Binary,IT,Clinical embryologist,Terminated,206,Erin Christensen,Manager,0,18,4,37447.27,19372.9,9,10,100,11,6,Referral,4.21,18-09-2023,None,,Thomas G,49,1,12,Yes,3,2.63,Low,Diverse,97.36,1392.21,48,Yes,33,7.76
24759,25-09-2018,20-08-1966,Female,Sales,Agricultural engineer,Active,499,Michelle Rios,Manager,0,1,5,58937.36,13988.77,3,0,6,16,4,Job Board,1.88,,,,Patrick,17,2,15,Yes,4,1.05,Medium,Non-Diverse,79.9,5259.4,35,No,34,7.16
24760,22-04-2016,12-07-1984,Male,IT,Magazine features editor,Terminated,204,Leonard Stout,Director,17,13,1,118609.97,14715.34,4,3,75,32,19,Referral,4.06,28-08-2024,Retirement,,Thomas G,47,3,4,Yes,4,1.41,High,Non-Diverse,89.82,4464.1,19,Yes,42,4.74
24761,26-11-2016,04-04-1984,Non-Binary,HR,"Restaurant manager, fast food",Terminated,644,Isaiah Olson,Manager,16,13,1,80400.27,4065.93,3,10,53,18,8,Referral,1.75,09-10-2022,Resignation,14-05-2020,Arun S,6,1,0,No,4,1.73,Low,Non-Diverse,80.05,5725.16,11,Yes,52,4.32
24762,22-12-2022,27-10-1990,Female,Marketing,Ship broker,Active,635,Renee Chang,VP,20,17,2,100203.27,6293.25,3,9,13,27,2,Referral,3.06,,,,Arun S,15,0,10,Yes,5,4.96,Medium,Non-Diverse,81.08,3838.18,11,No,30,5.76
24763,23-12-2023,11-12-1991,Non-Binary,Marketing,"Engineer, drilling",Terminated,308,Kristen Walsh,VP,10,10,5,71489.37,13398.71,5,4,56,12,8,Recruiter,4.49,09-02-2024,Resignation,22-08-2024,Patrick,23,4,8,No,5,2.51,Medium,Diverse,81.45,8472.08,29,No,44,6.66
24764,09-07-2023,14-11-1989,Female,Sales,Archaeologist,Terminated,341,William Yang,Director,1,13,5,63280.29,18106.25,5,6,100,11,2,Job Board,2.84,29-07-2023,Retirement,,Arun S,50,3,12,Yes,3,3.44,Medium,Diverse,60.63,2764.73,31,No,43,9.55
24765,23-08-2019,05-05-1983,Male,HR,"Pharmacist, hospital",Terminated,508,William Stein,VP,15,17,5,44983.68,8156.78,7,8,95,49,5,Referral,3.67,15-07-2020,Retirement,,Arun S,31,2,17,No,4,2.96,Medium,Diverse,96.19,2358.72,40,Yes,44,3.5
24766,19-02-2021,30-09-1959,Male,Finance,"Secretary, company",Active,96,Lucas Carroll,Manager,15,11,4,58762.7,15925.81,8,1,93,31,14,Walk-in,4.14,,,14-03-2023,Patrick,45,3,12,Yes,0,1.6,High,Non-Diverse,67.26,8666.12,25,Yes,51,9.33
24767,30-10-2015,03-02-2004,Female,IT,Hydrographic surveyor,On Leave,319,Jessica Williams,VP,13,11,5,66742.26,16940,6,4,64,18,15,Referral,1.7,,,,Patrick,12,1,20,Yes,4,1.86,High,Diverse,76.38,5187.61,23,Yes,37,3.28
24768,01-06-2020,02-04-1972,Female,Marketing,"Teacher, adult education",On Leave,567,Kathleen Meyer,VP,9,4,4,39049.49,12630.23,4,7,16,20,10,Walk-in,2.9,,,16-11-2021,Arun S,12,2,14,Yes,1,3.61,Medium,Non-Diverse,81.66,1769.83,30,No,36,6.15
24769,02-08-2023,13-11-1979,Male,HR,Herbalist,Terminated,137,Spencer Anderson,VP,20,12,2,82467.56,18771.49,8,6,66,20,18,Recruiter,2.34,05-06-2024,Layoff,18-08-2024,Arun S,15,1,20,No,3,1.37,High,Diverse,56.84,3696.6,40,No,50,1.68
24770,09-02-2020,13-10-1985,Female,Finance,"Buyer, retail",Terminated,33,Danielle Jones,Director,10,6,4,79480.28,9014.17,9,9,84,11,12,Walk-in,3.46,06-07-2021,None,27-07-2024,Arun S,45,3,0,Yes,5,2.13,Low,Diverse,71.05,2790.66,26,No,40,4.61
24771,03-04-2022,20-03-1989,Male,Sales,"Conservation officer, nature",Terminated,740,Kevin Mays,VP,3,5,5,35923.3,3317.7,1,5,63,14,19,Walk-in,2.61,26-10-2022,Retirement,12-06-2023,Thomas G,21,3,6,Yes,2,2.63,High,Non-Diverse,98.3,8197.51,27,No,32,6.17
24772,30-12-2019,29-05-1986,Non-Binary,Finance,Technical brewer,Terminated,317,Kristen Thomas,VP,12,4,3,104130.91,17801.33,4,2,53,13,4,Recruiter,2.89,07-12-2022,None,,Thomas G,40,2,18,No,1,2.85,Medium,Diverse,75.8,2263.47,21,Yes,34,5.12
24773,09-12-2019,26-04-1998,Male,Marketing,"Engineer, manufacturing",Terminated,330,Patricia Moses,Manager,18,19,2,53509.46,18906.25,7,5,70,33,1,Referral,4.13,14-12-2020,Resignation,,Thomas G,38,0,8,No,2,4.76,Medium,Non-Diverse,74.46,1579.15,11,Yes,37,1.25
24774,10-03-2020,21-03-1977,Female,Marketing,Chartered accountant,On Leave,167,Kimberly Williams,Director,20,2,2,92783.01,14231.02,3,7,9,41,17,Job Board,3.93,,,22-03-2021,Thomas G,7,3,1,No,1,1.09,Low,Diverse,80.35,5996.01,48,Yes,31,4.45
24775,13-08-2021,16-12-1995,Male,IT,Information officer,Terminated,480,Caleb Lynch,Manager,5,7,2,59850.94,18196.1,1,10,8,9,3,Job Board,1.14,13-04-2023,Resignation,02-02-2024,Arun S,11,0,3,No,2,1.79,Low,Non-Diverse,75.9,8381.39,19,No,60,1.1
24776,02-04-2015,20-01-1974,Female,IT,Catering manager,On Leave,467,Charles Shaffer,Director,15,7,2,110363.57,3020.43,2,7,62,30,4,Referral,1.65,,,,Patrick,16,3,5,No,4,2,Low,Diverse,86.01,3526.51,46,Yes,36,1.88
24777,20-04-2019,10-03-2004,Non-Binary,IT,Print production planner,Active,519,Michelle Haley,Director,6,12,5,75474.57,10859.62,9,6,98,35,0,Referral,3.06,,,,Arun S,21,2,12,Yes,0,2.63,Medium,Diverse,55.85,8559.37,31,No,43,5.75
24778,23-12-2024,04-02-2004,Female,Marketing,Furniture designer,Terminated,950,Jessica Robertson,VP,11,3,5,100826.92,14803.13,6,0,86,7,14,Referral,2.18,23-12-2024,Layoff,12-01-2025,Arun S,50,1,3,No,5,3.17,High,Non-Diverse,51.21,5518.83,14,Yes,44,9.9
24779,30-01-2022,17-06-1987,Male,IT,Community development worker,Terminated,260,Latoya Wells,Manager,4,16,3,87628.43,10455.39,6,1,67,42,13,Job Board,1.48,20-08-2024,Resignation,,Arun S,14,3,4,Yes,2,1.6,High,Diverse,93.78,2490.37,18,Yes,49,7.63
24780,08-06-2021,17-02-1963,Male,Sales,Medical technical officer,On Leave,100,Veronica Johnson,Director,8,3,5,57529.51,15132.28,7,6,100,18,16,Walk-in,2.41,,,,Thomas G,13,2,17,Yes,3,1.15,High,Non-Diverse,84.91,4107.42,15,No,38,1.44
24781,23-02-2024,10-11-1964,Female,Sales,Restaurant manager,Terminated,798,Danny Edwards,VP,19,17,3,104880.2,18545.41,9,10,22,42,8,Walk-in,3.37,25-03-2024,Resignation,,Thomas G,30,0,14,Yes,5,2.82,Low,Diverse,60.04,9615.41,19,No,42,7.72
24782,10-11-2018,30-08-2001,Female,Sales,"Engineer, site",Terminated,638,Ryan Adams,Director,17,16,2,106428.39,12848.41,2,8,84,32,8,Job Board,1.45,13-10-2024,Layoff,,Patrick,25,1,13,Yes,4,1.01,High,Non-Diverse,76.08,8088.69,50,Yes,56,8.71
24783,21-08-2016,23-12-1966,Male,Finance,Forensic psychologist,Active,289,Christopher Hines,Manager,10,3,2,61100.59,3541.25,8,10,24,21,20,Referral,2.14,,,,Thomas G,23,5,11,No,4,2.15,Medium,Non-Diverse,72.5,5560.05,35,No,36,5.05
24784,07-02-2020,26-01-1960,Male,Sales,Call centre manager,On Leave,412,Jenna Koch,VP,19,19,2,111324.84,10905.7,6,5,9,8,1,Walk-in,1.72,,,30-10-2021,Arun S,44,3,12,Yes,5,1.67,High,Diverse,97.64,1445.68,27,No,55,5.75
24785,14-09-2015,01-09-1974,Female,IT,Town planner,On Leave,291,John Medina,VP,10,0,5,53677.28,16777.88,2,10,12,46,10,Referral,2.21,,,22-07-2023,Patrick,26,5,7,No,1,2.91,Medium,Non-Diverse,72.53,5606.02,30,No,38,1.57
24786,01-09-2022,15-02-1970,Non-Binary,Finance,Environmental health practitioner,On Leave,667,Cynthia Johnson,VP,6,19,3,105831.8,16234.77,10,3,78,35,0,Job Board,2.6,,,07-10-2022,Patrick,17,3,16,No,2,1.24,Low,Non-Diverse,85.85,8587.25,53,Yes,45,9.17
24787,16-07-2020,08-11-1984,Non-Binary,Marketing,"Designer, multimedia",Terminated,84,Michael Bullock,Manager,15,17,2,48478.48,13719.72,1,1,3,11,9,Referral,1.79,27-05-2024,Resignation,02-10-2024,Arun S,47,2,5,No,0,4.87,High,Diverse,50.6,7308.22,36,Yes,36,6.98
24788,02-08-2015,17-01-1989,Non-Binary,Marketing,Production engineer,On Leave,31,Mitchell Mccall,VP,20,20,4,33281.73,16357.41,1,6,89,38,8,Referral,2.02,,,08-03-2023,Arun S,32,5,16,No,4,2.03,Medium,Diverse,92.4,6554.98,59,Yes,50,2.8
24789,27-03-2019,30-09-1982,Female,HR,Cytogeneticist,Active,670,Mrs. Jessica Delgado DVM,Manager,7,10,5,31763.2,136.82,7,2,58,29,8,Walk-in,3.47,,,,Thomas G,16,2,18,No,1,2.07,Low,Non-Diverse,74.25,2935.28,48,No,32,8.45
24790,17-09-2020,01-09-1999,Female,HR,"Designer, industrial/product",On Leave,523,Mary Rowe,VP,6,7,4,96286.28,5725.25,10,9,2,9,11,Job Board,4.25,,,23-11-2022,Thomas G,44,5,5,No,3,2.78,Medium,Diverse,68.82,3934.82,57,Yes,43,7.25
24791,26-08-2020,06-07-1999,Male,Marketing,Tax adviser,On Leave,335,Kimberly Martinez,Manager,16,8,1,47837.62,452.07,0,6,31,5,6,Referral,1.63,,,26-11-2023,Patrick,49,4,19,No,4,4.56,High,Non-Diverse,50.03,6230.52,42,No,60,9.56
24792,25-04-2019,19-02-1968,Non-Binary,Marketing,Sports coach,On Leave,127,David Avila,VP,16,16,1,67340.66,208.77,2,0,81,20,7,Walk-in,4.03,,,,Thomas G,47,5,15,No,3,3.53,High,Diverse,60.56,9220.28,30,No,48,7.23
24793,19-09-2024,05-03-1970,Non-Binary,HR,"Engineer, broadcasting (operations)",On Leave,515,Joshua Perry,Manager,12,7,4,64080.69,9224.16,10,9,20,0,8,Recruiter,1.34,,,18-01-2025,Patrick,36,1,4,Yes,3,1.32,High,Diverse,95.07,8735.57,31,Yes,53,9.63
24794,18-03-2017,22-06-1962,Male,IT,Pharmacologist,Active,791,Tracey Freeman,VP,17,3,2,97039.31,1272.71,7,2,26,0,5,Referral,4.58,,,,Arun S,43,0,1,Yes,4,3.69,Medium,Diverse,79.73,8650.79,23,No,30,4.69
24795,29-08-2022,08-02-1970,Male,Finance,Cartographer,On Leave,579,Angela Orozco,Manager,7,12,1,60217.01,7827.61,10,7,14,40,9,Walk-in,1.42,,,16-01-2025,Patrick,17,1,15,Yes,2,2.97,High,Diverse,86.51,6246.06,5,Yes,44,1.44
24796,14-05-2022,07-07-1973,Non-Binary,Finance,Community development worker,Active,545,Julia Serrano,Director,20,13,1,114633.54,6041.1,9,7,71,29,2,Referral,1.72,,,,Patrick,37,1,0,No,1,2.2,Medium,Non-Diverse,62.31,3986.63,24,No,42,7.86
24797,08-04-2020,27-12-1969,Non-Binary,HR,Fashion designer,Active,600,George Burgess,VP,3,9,4,76622.74,17687.57,1,9,14,38,18,Walk-in,3.7,,,21-08-2023,Patrick,22,2,10,No,1,2.05,Low,Diverse,62.21,1711.62,25,Yes,43,3.07
24798,06-01-2020,10-12-1986,Female,Sales,Soil scientist,Terminated,356,Anna Barry,Director,7,6,3,41917.02,748.8,7,5,23,24,16,Job Board,3.98,05-06-2024,Retirement,,Arun S,29,2,16,No,2,2.61,Medium,Non-Diverse,60.03,3804.15,59,No,39,1.66
24799,24-08-2016,13-11-1975,Non-Binary,HR,Osteopath,Active,656,Edward Meadows,Director,4,10,3,76219.93,2188.6,4,10,83,0,15,Job Board,4.24,,,23-05-2022,Patrick,23,5,12,Yes,4,1.26,Low,Diverse,61.01,4067.18,23,Yes,47,1.14
24800,21-08-2018,09-11-1983,Non-Binary,Marketing,Furniture designer,Active,603,Patrick Davenport,Manager,6,0,4,63794.02,11273.51,9,9,78,41,7,Walk-in,3.54,,,22-01-2020,Patrick,30,4,10,No,4,4.87,High,Diverse,62.85,8262.12,38,No,57,3.93
24801,22-10-2021,28-04-1994,Female,IT,"Programme researcher, broadcasting/film/video",On Leave,96,Henry Harris,Director,14,9,5,72042.34,18509.56,6,0,69,46,3,Job Board,3.91,,,,Patrick,8,1,6,No,0,3.6,Medium,Diverse,85.77,4421.39,47,Yes,54,4.06
24802,05-04-2015,06-12-2000,Female,Finance,"Surveyor, land/geomatics",Active,678,Debra Harris,Director,1,4,2,46663.94,12283.39,9,2,94,21,19,Job Board,4.1,,,,Patrick,29,1,15,No,4,3.76,Low,Non-Diverse,75.82,1357.29,58,Yes,43,8.21
24803,04-08-2021,07-03-1977,Male,Marketing,Chartered management accountant,Terminated,867,Andrew Rodriguez,Director,7,10,4,50534.83,4888.55,4,3,51,1,12,Job Board,3.58,23-01-2022,Retirement,04-05-2022,Patrick,45,5,8,Yes,5,1.17,Medium,Diverse,64.22,9959.56,58,Yes,32,7.07
24804,05-09-2023,28-08-2005,Male,HR,Forensic scientist,Terminated,462,Danielle Gates,Manager,3,18,1,104143.67,3466.88,7,1,21,38,0,Job Board,3.04,30-03-2024,None,,Arun S,9,3,17,No,1,1.37,Low,Non-Diverse,88.93,1070.22,37,No,45,6.47
24805,30-08-2017,08-08-2004,Non-Binary,Sales,Pharmacologist,On Leave,683,Anna Wood MD,VP,16,16,5,81643.74,3373.42,5,3,82,11,19,Referral,2.26,,,,Arun S,27,5,8,No,2,3.41,Medium,Diverse,81.84,4280.93,41,Yes,39,3.85
24806,23-07-2024,29-11-1984,Male,HR,Quantity surveyor,On Leave,31,Matthew Moore,Manager,17,3,5,46814.61,14554.2,0,5,72,33,5,Referral,1.43,,,24-11-2024,Patrick,45,1,3,Yes,1,1.49,Low,Diverse,58.45,6353.93,44,No,45,8.18
24807,10-10-2015,18-07-1980,Female,HR,Data processing manager,Active,843,Amy Jones,VP,15,15,5,39685.64,2853.79,7,1,82,37,8,Job Board,4.35,,,,Arun S,48,3,13,Yes,2,2.89,High,Non-Diverse,62.44,1453.83,15,No,41,1.78
24808,09-11-2022,27-02-1985,Female,Sales,Retail banker,Terminated,49,Lawrence Miller,Manager,12,10,1,84239.29,1092.19,3,4,77,7,1,Walk-in,3.78,28-11-2023,None,,Thomas G,9,3,9,Yes,1,1.99,Medium,Non-Diverse,72.17,6999.41,30,Yes,54,8.26
